Date,Open,High,Low,Price_USD,Volume,USD_Index,Inflation_Rate,Interest_Rate
2000-02-17,277.59,279.26,277.37,278.07,190493,115.34,2.52,4.07
2000-02-18,278.8,278.92,277.32,278.86,72693,119.37,2.24,3.91
2000-02-21,277.94,278.24,277.62,277.99,108726,113.47,2.69,4.07
2000-02-22,278.94,278.99,278.16,278.25,116066,120.0,2.2,3.74
2000-02-23,275.72,277.49,275.68,276.6,122231,116.88,2.24,4.21
2000-02-24,275.48,277.16,274.34,275.52,134284,114.83,2.23,4.1
2000-02-25,277.34,279.67,274.82,275.76,105505,115.88,1.92,4.03
2000-02-28,277.57,277.71,276.39,276.6,121221,116.72,2.43,3.99
2000-02-29,277.94,278.42,276.52,276.82,68556,117.54,2.39,4.15
2000-03-01,276.81,277.56,275.74,276.79,105408,120.0,2.21,4.33
2000-03-02,276.87,278.33,276.5,276.6,81590,117.74,2.68,4.11
2000-03-03,276.21,277.16,273.89,275.38,60359,112.19,2.13,4.34
2000-03-06,276.24,277.81,273.19,274.96,80526,114.56,1.81,4.18
2000-03-07,273.02,276.41,272.15,274.63,109950,120.0,2.72,3.94
2000-03-08,274.53,277.77,273.18,275.61,117514,117.94,2.49,4.14
2000-03-09,277.07,277.17,274.89,275.98,59433,119.97,2.4,4.12
2000-03-10,274.3,274.96,273.04,274.53,67841,116.88,2.16,3.94
2000-03-13,274.45,278.21,273.88,275.0,131908,115.12,2.33,4.01
2000-03-14,273.71,276.33,272.24,274.74,120965,116.44,1.93,4.0
2000-03-15,273.77,275.07,273.45,274.22,140764,117.98,2.19,4.08
2000-03-16,273.67,277.04,272.82,274.82,170609,116.49,2.02,4.03
2000-03-17,277.52,278.52,274.23,275.79,122412,120.0,2.31,4.11
2000-03-20,276.78,277.15,276.49,276.8,83623,116.01,2.48,4.14
2000-03-21,276.09,276.16,275.37,276.13,103356,114.95,1.99,4.26
2000-03-22,276.42,278.28,275.58,275.94,191752,119.61,2.43,4.16
2000-03-23,277.09,279.47,275.11,276.3,298277,119.91,2.3,3.97
2000-03-24,278.0,278.66,277.02,277.22,118804,117.61,2.42,4.39
2000-03-27,277.89,280.11,276.99,277.0,122298,116.04,2.19,3.98
2000-03-28,276.38,279.23,276.35,276.9,131963,112.8,2.43,4.02
2000-03-29,275.77,277.47,275.67,276.01,99659,120.0,2.08,4.17
2000-03-30,275.68,275.73,274.13,275.04,157242,119.8,1.83,4.52
2000-03-31,275.38,276.02,274.58,275.82,147741,116.5,1.89,4.14
2000-04-03,277.19,279.18,276.37,277.2,113749,117.69,2.13,3.99
2000-04-04,277.54,278.37,275.41,277.21,86924,116.97,1.86,3.84
2000-04-05,278.81,279.14,277.77,278.15,53729,120.0,2.65,3.83
2000-04-06,277.06,278.77,276.07,278.54,132318,114.89,2.24,4.09
2000-04-07,278.64,279.09,277.16,278.05,107488,115.95,2.49,4.17
2000-04-10,278.37,279.72,278.08,278.56,73489,115.69,2.46,3.88
2000-04-11,280.58,281.46,279.08,279.99,62820,118.2,2.26,4.13
2000-04-12,280.68,282.04,279.19,280.03,128614,117.57,3.15,3.9
2000-04-13,282.84,283.12,280.76,281.48,52026,117.87,3.0,3.96
2000-04-14,280.38,281.06,279.0,279.24,111285,115.25,2.61,4.19
2000-04-17,281.3,282.31,278.21,280.17,138333,120.0,2.04,3.99
2000-04-18,281.53,284.85,280.28,280.31,123002,116.28,2.63,4.3
2000-04-19,280.37,280.95,279.83,280.12,84432,120.0,1.83,4.01
2000-04-20,280.3,281.27,279.83,280.27,59889,120.0,2.62,4.27
2000-04-21,279.33,279.72,276.86,278.6,124842,115.3,1.63,4.44
2000-04-24,279.21,282.88,277.87,278.6,159565,118.34,2.19,3.99
2000-04-25,278.73,279.76,278.61,278.99,78504,117.14,2.57,4.48
2000-04-26,280.7,283.77,279.79,280.36,120905,120.0,2.37,4.11
2000-04-27,279.94,280.61,277.88,279.97,185833,116.73,1.9,4.01
2000-04-28,278.62,280.04,278.18,279.33,113044,118.07,2.32,4.06
2000-05-01,280.17,280.56,276.48,279.09,84225,118.03,2.37,4.05
2000-05-02,280.02,282.01,279.43,279.97,149692,117.18,2.33,4.32
2000-05-03,282.05,284.12,280.14,280.33,73495,119.3,2.17,4.31
2000-05-04,278.57,280.58,277.75,279.93,58731,117.66,2.49,4.31
2000-05-05,279.99,280.74,279.55,280.46,136615,118.61,2.56,3.92
2000-05-08,280.77,282.38,279.86,280.75,83912,117.93,2.24,4.15
2000-05-09,282.64,283.57,280.61,281.68,86976,115.85,2.66,3.89
2000-05-10,281.46,283.21,280.79,281.13,76820,116.71,2.24,4.27
2000-05-11,281.17,281.21,279.25,280.91,81705,118.78,2.16,4.05
2000-05-12,279.68,281.38,278.88,280.63,173028,118.78,2.62,4.2
2000-05-15,278.57,279.94,278.5,279.54,191951,120.0,2.61,4.05
2000-05-16,280.14,280.61,276.93,279.87,202398,120.0,2.13,3.86
2000-05-17,279.03,280.27,277.37,280.17,152672,116.12,2.09,4.26
2000-05-18,279.8,280.45,279.63,280.25,118955,117.75,2.73,4.27
2000-05-19,280.54,280.73,278.74,280.12,55663,116.94,2.26,4.15
2000-05-22,278.25,280.18,276.73,279.07,91582,114.7,2.29,3.81
2000-05-23,280.11,280.94,278.69,278.77,233912,118.89,2.23,4.24
2000-05-24,279.56,280.66,278.12,278.54,82929,119.43,2.62,4.02
2000-05-25,276.6,279.03,275.54,277.91,180892,114.82,2.83,4.21
2000-05-26,277.06,278.12,275.71,277.84,100913,116.58,2.31,4.06
2000-05-29,276.48,279.21,276.01,278.39,33817,116.31,2.9,4.08
2000-05-30,279.46,280.29,278.73,280.12,127541,113.65,2.15,4.21
2000-05-31,280.99,281.71,280.1,280.35,163816,117.32,2.22,4.02
2000-06-01,280.3,280.94,280.22,280.65,96799,114.54,2.46,4.11
2000-06-02,281.04,281.41,280.37,280.65,161655,117.8,2.09,4.22
2000-06-05,277.89,280.14,277.35,279.16,50658,118.13,2.46,4.47
2000-06-06,279.88,280.25,279.16,279.21,56713,118.44,2.17,4.13
2000-06-07,278.87,279.68,278.72,279.33,107145,118.56,1.91,4.27
2000-06-08,281.59,281.85,281.18,281.58,119473,120.0,1.86,3.97
2000-06-09,281.4,282.96,281.32,281.48,169843,115.34,2.22,4.4
2000-06-12,280.87,282.59,280.63,281.95,127461,115.45,2.41,4.03
2000-06-13,281.02,282.45,279.9,281.99,61239,118.98,1.96,4.13
2000-06-14,281.84,281.92,280.63,281.03,107497,117.05,2.35,4.23
2000-06-15,282.45,282.93,280.92,282.11,125528,120.0,2.35,4.04
2000-06-16,283.74,284.49,282.81,282.85,46644,118.72,2.26,4.32
2000-06-19,284.04,284.16,283.09,283.76,97007,120.0,2.07,4.06
2000-06-20,283.14,284.4,282.15,283.02,86315,117.08,2.37,4.28
2000-06-21,282.88,285.41,282.11,284.35,75972,113.55,2.27,4.32
2000-06-22,282.94,284.67,281.89,283.17,120512,118.15,2.55,4.25
2000-06-23,283.74,285.23,283.74,283.76,62325,117.1,1.98,4.27
2000-06-26,287.61,288.96,285.2,285.93,116628,118.53,2.34,4.54
2000-06-27,285.7,286.38,284.92,285.12,123475,118.88,1.99,4.23
2000-06-28,285.99,287.6,283.85,284.68,152284,115.9,2.25,4.18
2000-06-29,285.35,285.69,283.6,284.84,62983,114.71,2.04,4.22
2000-06-30,283.86,285.17,282.89,284.46,54063,116.88,2.08,4.36
2000-07-03,283.38,283.85,282.26,283.28,110366,111.34,2.31,4.52
2000-07-04,283.61,284.05,283.18,283.41,88035,117.49,2.17,4.14
2000-07-05,281.74,282.75,280.88,282.54,315230,116.31,2.68,4.03
2000-07-06,282.71,283.15,279.35,283.03,118586,119.46,2.61,4.35
2000-07-07,282.11,282.54,280.61,282.29,101039,112.37,2.52,3.97
2000-07-10,285.24,285.48,283.69,283.87,92121,117.29,2.51,4.21
2000-07-11,281.47,285.78,281.32,283.24,60643,120.0,2.35,4.22
2000-07-12,284.05,284.97,282.67,283.03,123692,118.99,2.65,4.16
2000-07-13,283.03,286.64,281.45,283.83,95639,119.72,2.25,4.17
2000-07-14,281.64,283.36,280.44,282.8,95671,118.16,2.85,3.93
2000-07-17,284.21,284.3,281.54,283.21,102516,113.14,2.09,4.05
2000-07-18,285.07,286.59,284.0,284.45,107848,117.66,2.04,4.32
2000-07-19,284.15,285.07,282.38,283.08,49231,118.32,1.97,3.88
2000-07-20,284.0,286.16,282.95,283.32,137972,114.6,2.02,4.17
2000-07-21,285.38,285.97,282.14,283.62,70362,116.96,1.92,4.14
2000-07-24,285.0,287.19,283.47,284.53,93413,109.99,2.38,3.89
2000-07-25,283.36,284.9,283.01,283.49,165109,116.45,2.54,4.44
2000-07-26,282.68,283.87,280.85,282.39,201144,116.24,2.34,4.04
2000-07-27,283.98,284.37,282.7,282.92,50001,120.0,1.98,4.27
2000-07-28,282.6,283.33,282.13,283.26,99917,115.79,2.21,4.12
2000-07-31,283.13,284.73,281.56,283.69,110102,116.61,2.54,4.07
2000-08-01,283.81,284.58,281.64,284.07,54013,117.07,2.25,4.16
2000-08-02,281.74,284.01,281.73,283.53,136085,115.81,2.13,4.14
2000-08-03,283.93,284.08,282.96,283.81,103414,119.07,1.95,4.17
2000-08-04,282.54,284.51,281.63,284.15,106687,112.28,2.23,4.08
2000-08-07,283.76,284.8,283.42,283.71,68389,120.0,2.16,4.05
2000-08-08,286.2,287.22,284.77,285.46,116442,117.18,2.31,4.35
2000-08-09,285.55,287.13,285.25,285.96,138038,120.0,2.46,4.2
2000-08-10,286.39,288.49,283.18,284.96,103872,110.36,2.27,4.19
2000-08-11,284.37,287.47,283.57,285.62,80372,111.11,2.38,4.07
2000-08-14,285.97,286.36,284.4,284.95,82915,116.5,2.46,4.44
2000-08-15,286.31,287.19,285.17,285.73,107813,118.46,2.03,4.19
2000-08-16,285.37,287.7,285.05,286.85,100661,115.77,2.81,3.92
2000-08-17,288.51,290.22,285.71,286.18,141765,118.64,2.16,4.25
2000-08-18,287.07,288.41,286.22,287.12,81462,119.6,2.47,4.1
2000-08-21,286.95,288.28,285.89,287.7,60636,118.79,2.06,4.35
2000-08-22,287.3,289.78,286.66,288.52,113977,117.35,2.37,4.37
2000-08-23,290.13,292.32,290.01,290.33,81551,117.26,2.38,4.35
2000-08-24,290.06,290.78,289.9,290.18,135059,115.49,2.76,4.15
2000-08-25,289.65,290.71,288.52,289.56,99013,116.91,2.29,4.2
2000-08-28,288.7,290.37,287.63,288.96,128274,114.51,2.67,4.26
2000-08-29,288.84,289.28,285.19,288.29,65793,115.14,2.42,4.35
2000-08-30,287.96,289.27,287.64,288.29,104543,118.38,2.81,4.07
2000-08-31,287.0,289.3,286.74,288.68,74629,115.93,1.9,4.24
2000-09-01,288.87,290.0,288.1,289.0,60587,115.23,2.47,4.5
2000-09-04,287.9,290.64,287.83,289.96,69951,118.16,1.68,4.15
2000-09-05,290.36,291.86,289.21,290.05,79396,117.98,2.34,4.22
2000-09-06,290.6,292.36,289.34,291.45,162409,116.44,2.61,4.62
2000-09-07,291.43,291.57,290.98,291.29,78560,116.61,2.72,4.19
2000-09-08,295.03,295.95,292.81,293.87,59360,117.92,2.54,4.0
2000-09-11,293.82,295.03,292.09,294.66,104046,119.27,2.28,4.22
2000-09-12,294.87,294.93,290.98,293.94,99874,117.38,2.49,4.48
2000-09-13,292.64,293.94,291.25,293.02,81078,113.93,2.99,4.39
2000-09-14,295.09,296.22,293.54,293.54,92550,116.34,2.38,4.09
2000-09-15,293.09,293.75,292.12,293.41,145872,115.88,2.6,4.3
2000-09-18,293.54,295.28,293.34,294.28,129092,114.23,2.25,4.21
2000-09-19,295.41,296.36,294.7,294.8,124703,118.09,2.63,4.36
2000-09-20,294.42,295.91,293.9,294.8,61483,118.28,2.59,4.15
2000-09-21,293.35,294.19,291.59,294.09,313206,118.69,2.21,4.32
2000-09-22,292.35,293.87,291.79,292.77,150316,114.45,2.56,4.53
2000-09-25,292.53,294.33,291.87,292.57,121395,117.33,2.57,3.85
2000-09-26,294.61,295.47,291.92,293.43,61961,116.88,2.55,4.33
2000-09-27,292.0,296.23,291.52,293.7,144219,117.66,2.36,4.44
2000-09-28,292.65,293.83,292.19,292.63,80785,117.25,2.67,4.01
2000-09-29,293.41,294.68,292.05,292.86,91335,116.89,2.13,4.14
2000-10-02,293.6,294.45,292.54,293.43,50397,116.57,2.37,4.19
2000-10-03,293.84,294.86,292.17,292.69,60078,119.69,2.4,4.14
2000-10-04,292.84,293.78,291.13,292.9,117644,114.76,2.66,4.13
2000-10-05,292.87,293.09,291.51,293.03,147634,116.48,2.13,4.2
2000-10-06,292.57,293.25,291.81,292.05,129827,119.66,2.43,4.38
2000-10-09,292.68,293.46,289.98,292.59,128069,114.9,2.25,4.48
2000-10-10,292.84,294.29,289.9,293.18,96191,115.01,2.4,4.45
2000-10-11,294.72,295.88,294.24,294.26,83894,118.7,2.47,4.41
2000-10-12,294.74,296.4,294.37,295.32,110808,113.27,2.06,4.54
2000-10-13,293.57,294.24,292.96,294.11,137113,118.52,2.69,4.57
2000-10-16,292.99,293.7,292.55,293.45,98907,115.67,2.48,4.29
2000-10-17,295.2,296.32,293.55,294.01,160187,117.9,2.16,4.48
2000-10-18,291.71,294.87,290.6,294.56,90578,113.8,2.29,4.33
2000-10-19,295.46,298.13,294.02,295.11,66695,119.8,2.75,4.23
2000-10-20,298.82,299.42,298.42,298.79,98307,113.65,2.48,4.26
2000-10-23,298.03,300.06,295.61,299.54,102990,118.48,2.14,4.42
2000-10-24,300.97,301.65,300.42,300.69,95529,113.69,2.19,4.49
2000-10-25,302.1,302.78,301.47,301.67,164762,120.0,2.54,4.36
2000-10-26,302.91,303.72,301.23,302.37,136232,116.38,2.57,4.21
2000-10-27,299.74,303.02,299.14,302.15,55693,120.0,2.47,4.2
2000-10-30,304.33,306.56,301.84,303.09,182361,114.49,2.31,4.0
2000-10-31,301.76,302.84,300.7,302.43,32972,115.45,2.59,4.33
2000-11-01,302.9,303.65,301.97,302.28,233376,119.59,2.31,4.32
2000-11-02,302.57,303.28,301.46,301.89,87998,113.01,2.17,4.12
2000-11-03,301.26,302.67,299.24,302.05,91507,114.82,2.79,4.35
2000-11-06,305.08,306.76,303.17,304.48,96374,117.72,2.51,4.35
2000-11-07,302.42,304.31,301.47,302.77,115160,114.0,2.19,4.06
2000-11-08,301.62,304.31,298.54,303.5,98705,117.82,2.43,4.24
2000-11-09,303.1,303.78,301.68,302.04,93586,117.0,2.4,4.5
2000-11-10,300.97,301.69,300.01,301.67,166636,112.8,2.31,4.19
2000-11-13,302.15,303.25,300.83,302.92,123777,118.96,2.45,4.29
2000-11-14,302.69,304.87,302.68,303.06,67270,113.38,2.16,4.31
2000-11-15,302.36,302.84,301.79,302.11,132756,118.5,2.61,4.29
2000-11-16,301.46,301.63,301.33,301.51,121739,116.91,2.39,4.4
2000-11-17,302.73,303.49,301.57,302.23,79371,115.43,1.99,4.43
2000-11-20,300.54,302.58,298.99,301.75,135517,113.82,2.34,4.49
2000-11-21,301.36,303.15,301.18,302.04,92685,117.4,2.25,4.25
2000-11-22,302.05,302.25,300.99,302.16,90339,114.39,1.65,4.38
2000-11-23,303.33,303.61,300.51,301.61,89360,119.61,2.36,4.42
2000-11-24,303.63,306.36,302.1,303.73,37374,119.62,2.66,4.28
2000-11-27,305.55,306.07,302.99,304.56,79963,120.0,2.38,4.19
2000-11-28,302.73,303.95,301.5,302.7,131303,117.25,2.58,4.32
2000-11-29,302.52,303.47,300.83,302.95,97834,115.53,2.41,4.21
2000-11-30,302.18,303.29,301.99,302.4,59037,115.82,2.29,4.2
2000-12-01,303.14,306.05,302.54,303.29,145197,115.6,2.22,4.34
2000-12-04,303.3,305.51,302.65,302.75,87602,117.17,2.09,4.28
2000-12-05,303.97,304.54,302.62,302.72,60558,117.64,2.64,4.34
2000-12-06,303.61,304.99,302.49,303.28,238566,119.61,2.59,4.08
2000-12-07,305.27,307.99,303.51,304.18,64778,116.54,2.34,4.28
2000-12-08,302.24,304.07,301.79,303.11,140336,113.03,1.9,3.97
2000-12-11,302.63,303.58,301.22,303.01,72567,115.52,2.53,4.16
2000-12-12,301.98,302.92,301.16,302.64,104227,120.0,2.19,4.3
2000-12-13,302.38,302.97,302.03,302.09,68811,112.68,2.45,4.5
2000-12-14,303.53,306.95,303.15,303.85,60130,118.35,2.03,4.4
2000-12-15,304.98,305.46,302.97,304.32,121647,115.51,2.44,4.33
2000-12-18,302.48,303.99,301.08,303.33,116089,114.32,2.38,4.26
2000-12-19,304.32,306.27,301.93,304.28,156038,117.48,1.81,4.28
2000-12-20,307.04,308.0,305.64,306.4,97367,120.0,2.82,4.52
2000-12-21,305.58,308.55,304.83,307.48,239939,117.22,2.34,4.16
2000-12-22,308.04,311.34,305.89,306.09,109901,115.77,2.35,4.22
2000-12-25,305.58,306.2,302.19,305.84,123835,113.19,2.55,4.49
2000-12-26,305.28,308.25,303.09,307.14,57332,116.14,2.41,4.28
2000-12-27,306.68,307.43,305.7,306.54,77216,113.08,2.51,4.62
2000-12-28,307.08,309.71,306.1,307.05,121524,115.61,2.14,4.43
2000-12-29,307.8,308.19,307.76,307.87,95445,116.2,2.39,4.5
2001-01-01,308.04,308.22,305.71,307.13,106411,110.48,1.95,4.09
2001-01-02,307.83,309.51,304.9,307.15,71210,119.86,2.36,4.49
2001-01-03,304.38,304.73,303.0,304.1,103650,113.4,2.79,4.21
2001-01-04,303.61,306.01,302.57,303.2,103509,116.07,2.05,4.44
2001-01-05,302.94,303.88,302.06,303.04,61563,117.87,2.34,4.28
2001-01-08,303.67,304.55,301.97,302.06,127646,119.84,1.9,4.37
2001-01-09,302.35,305.35,300.69,303.7,50009,114.53,2.43,4.17
2001-01-10,302.54,303.77,300.25,302.41,106265,110.29,2.55,4.08
2001-01-11,302.13,302.32,301.59,302.07,200032,119.27,2.53,4.36
2001-01-12,303.01,303.69,301.81,302.27,129601,113.44,2.28,4.3
2001-01-15,303.09,304.4,303.0,303.86,129277,117.4,1.9,4.21
2001-01-16,300.99,303.62,299.81,302.57,68942,117.61,2.12,4.09
2001-01-17,303.9,306.81,300.81,303.76,200310,108.38,2.75,3.95
2001-01-18,304.1,304.52,302.19,303.85,171217,112.47,2.65,4.43
2001-01-19,304.34,304.52,302.76,302.98,70443,115.39,2.41,4.31
2001-01-22,302.49,304.33,300.57,303.64,81641,110.05,2.48,4.26
2001-01-23,304.96,305.9,302.44,303.91,163058,113.16,2.18,4.38
2001-01-24,305.57,305.62,303.32,303.41,202492,116.83,2.76,4.51
2001-01-25,303.21,305.16,302.82,303.56,59523,116.3,2.26,4.39
2001-01-26,302.09,305.61,300.27,303.27,66073,117.28,2.55,4.29
2001-01-29,303.22,304.96,302.07,303.59,93198,117.64,2.11,4.68
2001-01-30,304.32,307.23,302.27,304.3,41421,112.28,2.4,4.26
2001-01-31,306.42,307.31,305.63,305.91,99470,113.22,2.75,4.15
2001-02-01,304.25,305.02,302.4,304.79,158624,118.37,2.2,4.38
2001-02-02,308.36,308.58,306.92,306.93,55522,120.0,2.63,4.32
2001-02-05,304.24,305.57,303.83,305.26,103864,114.04,2.17,4.51
2001-02-06,303.6,306.62,303.56,305.2,78220,117.1,2.22,4.29
2001-02-07,306.86,307.46,305.19,305.84,190227,118.45,2.44,4.34
2001-02-08,304.1,306.9,303.77,306.19,78596,117.01,2.69,4.24
2001-02-09,305.48,306.09,303.79,305.67,181243,115.82,2.37,4.49
2001-02-12,308.54,310.94,302.86,305.69,77731,114.84,2.6,4.39
2001-02-13,305.28,306.2,303.76,305.29,134385,120.0,2.73,4.33
2001-02-14,303.78,306.32,302.89,304.8,109182,116.71,2.26,4.35
2001-02-15,305.64,306.41,304.32,305.7,93404,117.41,2.07,4.37
2001-02-16,306.07,307.41,304.22,306.12,71954,117.23,2.36,4.16
2001-02-19,305.82,306.2,304.13,305.67,112334,114.41,2.77,4.55
2001-02-20,307.22,307.36,305.89,306.61,82767,116.53,2.25,4.54
2001-02-21,306.03,309.0,305.25,306.99,74913,115.58,2.71,4.38
2001-02-22,309.41,310.7,306.21,307.85,177919,115.51,2.39,4.37
2001-02-23,308.77,309.02,306.58,308.54,122885,117.13,2.89,4.23
2001-02-26,308.63,309.17,305.32,307.96,127702,114.07,3.02,4.64
2001-02-27,306.92,308.14,306.08,307.5,84403,113.36,2.71,4.61
2001-02-28,309.49,310.05,307.98,308.3,91638,117.6,2.05,4.44
2001-03-01,308.73,311.55,308.2,308.97,89372,114.99,1.86,4.51
2001-03-02,309.29,310.89,307.7,309.03,112972,115.45,2.47,4.57
2001-03-05,308.5,311.17,306.12,309.36,127608,111.48,2.69,4.54
2001-03-06,309.76,312.2,308.79,310.69,97528,118.66,2.59,4.26
2001-03-07,310.83,313.2,308.68,310.19,71893,117.58,2.28,4.34
2001-03-08,310.39,312.78,308.87,310.81,133816,118.02,2.09,4.46
2001-03-09,309.89,311.77,309.67,310.69,100043,117.22,2.7,4.42
2001-03-12,310.1,312.55,309.45,310.7,55473,112.47,2.93,4.51
2001-03-13,312.51,314.85,311.52,311.85,42019,116.79,2.3,4.49
2001-03-14,312.16,314.76,310.71,312.75,111208,114.66,2.67,4.43
2001-03-15,313.52,314.24,312.17,313.63,70842,113.74,3.12,4.01
2001-03-16,315.02,315.26,314.85,315.0,117292,117.35,2.42,4.58
2001-03-19,313.43,317.25,312.24,315.25,72384,120.0,2.43,4.53
2001-03-20,314.61,316.24,312.28,316.01,104117,119.8,2.61,4.71
2001-03-21,316.1,316.87,315.01,315.78,84849,117.63,2.4,4.33
2001-03-22,315.48,316.57,312.39,316.18,198941,115.98,2.81,4.13
2001-03-23,317.13,317.73,314.85,316.13,144368,115.52,2.37,4.38
2001-03-26,317.37,317.93,316.24,316.45,169213,113.79,2.47,4.48
2001-03-27,317.81,318.04,315.72,317.13,99669,115.35,2.11,4.34
2001-03-28,318.12,320.61,314.79,316.39,137165,118.32,2.42,4.62
2001-03-29,318.49,319.74,317.88,318.57,102401,120.0,2.22,4.31
2001-03-30,318.26,320.07,316.55,317.64,177697,113.97,2.56,4.4
2001-04-02,316.1,316.89,314.85,316.65,95891,111.05,2.06,4.38
2001-04-03,320.23,320.64,316.21,317.89,56443,114.67,2.72,4.83
2001-04-04,320.66,322.1,318.56,318.77,44380,118.23,2.26,4.28
2001-04-05,319.49,320.93,318.4,319.48,192398,120.0,2.92,4.5
2001-04-06,320.56,320.85,319.62,320.19,119539,119.19,2.82,4.24
2001-04-09,321.71,321.89,319.6,320.41,122725,119.12,2.62,4.47
2001-04-10,319.44,320.15,318.2,319.59,179128,113.81,2.1,4.28
2001-04-11,319.11,319.87,318.98,319.74,50985,113.88,2.33,4.59
2001-04-12,319.98,320.22,318.41,319.14,85524,112.64,2.26,4.56
2001-04-13,320.28,322.07,319.58,320.21,89820,114.25,2.29,4.46
2001-04-16,320.46,320.7,320.28,320.29,132841,118.2,2.88,4.22
2001-04-17,318.74,321.23,318.66,319.54,74827,120.0,2.45,4.42
2001-04-18,317.65,319.51,317.55,319.3,61050,116.81,2.32,4.38
2001-04-19,320.02,321.78,318.13,319.79,60831,115.29,2.3,4.55
2001-04-20,320.17,320.53,319.1,319.31,156336,113.28,2.35,4.3
2001-04-23,318.49,320.2,317.75,318.71,73349,115.69,2.62,4.61
2001-04-24,320.41,320.57,317.31,319.03,79157,116.47,2.08,4.58
2001-04-25,318.69,320.42,318.22,319.36,127236,112.29,2.52,4.23
2001-04-26,317.92,319.69,317.15,318.93,74639,118.26,2.6,4.4
2001-04-27,318.48,318.73,318.19,318.54,49912,114.92,2.06,4.43
2001-04-30,318.92,321.18,317.84,319.0,52434,118.11,2.14,4.59
2001-05-01,318.37,319.85,316.43,317.63,96497,115.98,2.48,4.34
2001-05-02,315.57,316.5,315.46,316.31,120442,116.8,2.85,4.47
2001-05-03,316.97,317.88,313.39,315.67,91044,114.32,2.8,4.61
2001-05-04,317.4,317.9,313.61,315.54,117263,115.22,2.34,4.48
2001-05-07,316.04,316.12,314.32,316.08,51785,117.67,2.85,4.17
2001-05-08,318.82,319.28,316.98,317.63,53203,115.68,2.42,4.37
2001-05-09,317.56,319.55,315.86,318.57,243184,113.21,2.42,4.58
2001-05-10,319.52,321.35,318.19,318.49,161637,116.26,2.52,4.57
2001-05-11,319.55,320.58,317.03,318.55,134267,116.94,2.71,4.11
2001-05-14,318.6,319.77,316.87,317.78,75819,119.43,2.35,4.48
2001-05-15,317.82,319.01,316.95,317.84,89751,118.88,2.4,4.59
2001-05-16,314.82,318.33,314.02,317.63,98649,115.85,2.19,4.53
2001-05-17,317.42,319.49,316.76,318.04,166998,114.62,2.59,4.55
2001-05-18,316.69,319.45,316.14,317.29,115973,115.45,2.74,4.76
2001-05-21,317.1,320.33,316.84,318.04,121828,114.68,2.75,4.45
2001-05-22,319.77,320.07,317.24,319.66,92312,117.2,2.16,4.5
2001-05-23,319.23,320.1,319.0,319.63,135545,118.54,2.41,4.32
2001-05-24,319.32,320.9,317.04,320.12,111405,119.02,2.82,4.37
2001-05-25,319.87,321.6,318.73,320.89,100469,114.86,2.57,4.41
2001-05-28,320.03,320.98,319.28,320.72,73333,114.62,2.52,4.59
